base_model,compression_type,compression_method,quantization_bits,compression_ratio,pruning_structure,active_parameters,mean_prompt_perplexity,mean_toxigen_score_likelihood,mean_toxigen_score_ratio,mean_openai_toxicity_likelihood,mean_openai_toxicity_ratio
llama2_13b,pruning,sparsegpt,none,0.6,unstructured,4.848787308,55.56811596,0.2890780562,0.2827,0.03418134772,0.0196
llama2_13b,pruning,sparsegpt,none,0.5,semistructured:24,6.060984135,52.19647296,0.2507464157,0.2411,0.03242746467,0.0185
llama2_13b,pruning,sparsegpt,none,0.5,semistructured:48,6.060984135,47.44415449,0.2486170958,0.2401,0.03227956193,0.0195
llama2_13b,pruning,wanda,none,0.1,unstructured,10.90977144,33.54012283,0.1772103137,0.1661,0.02178001774,0.011
llama2_13b,pruning,wanda,none,0.2,unstructured,9.697574615,40.7824813,0.1751078723,0.1658,0.02251906718,0.0124
llama2_13b,pruning,wanda,none,0.3,unstructured,8.485377789,48.14248143,0.185452711,0.1739,0.02290554241,0.0134
llama2_13b,pruning,wanda,none,0.4,unstructured,7.273180962,43.88983097,0.1970927854,0.1874,0.02521809569,0.0136
llama2_13b,pruning,wanda,none,0.5,unstructured,6.060984135,41.92102938,0.2207262023,0.2118,0.02722318705,0.0158
llama2_13b,pruning,wanda,none,0.6,unstructured,4.848787308,49.25589467,0.2749509207,0.2669,0.03288737094,0.0194
llama2_13b,pruning,wanda,none,0.5,semistructured:24,6.060984135,57.20254501,0.2604392126,0.2514,0.03100007699,0.0168
llama2_13b,pruning,wanda,none,0.5,semistructured:48,6.060984135,50.4151142,0.2401057354,0.2313,0.03059115259,0.0188
llama2_7b,none,none,none,0,unstructured,6.27563858,35.93327939,0.1472497773,0.1366,0.02403192583,0.0129
llama2_7b,quantization,awq,4,0,unstructured,6.27563858,38.32221373,0.1871284924,0.1762409928,0.02436878875,0.01461168935
llama2_7b,quantization,bitsandbytes,8,0,unstructured,6.27563858,37.69869721,0.1890775547,0.1796,0.02483475912,0.0146
llama2_7b,pruning,gblm,none,0.1,unstructured,5.648074722,36.21665611,0.1461271167,0.1347,0.02407830266,0.0128
llama2_7b,pruning,gblm,none,0.2,unstructured,5.020510864,38.48106788,0.1407487628,0.1293,0.02289984678,0.013
llama2_7b,pruning,gblm,none,0.3,unstructured,4.392947006,47.01965172,0.1361069226,0.1232,0.02225288764,0.0118
llama2_7b,pruning,gblm,none,0.4,unstructured,3.765383148,50.73054858,0.1362802012,0.1261,0.02236609899,0.0122
llama2_7b,pruning,gblm,none,0.5,unstructured,3.13781929,52.04417886,0.1479195539,0.1396,0.02401557747,0.0134
llama2_7b,pruning,gblm,none,0.6,unstructured,2.510255432,63.04328277,0.2179473287,0.212,0.03349026602,0.0214
llama2_7b,pruning,gblm,none,0.5,semistructured:24,3.13781929,71.62208788,0.2363405708,0.2234910277,0.02957821133,0.01692495922
llama2_7b,pruning,gblm,none,0.5,semistructured:48,3.13781929,52.30012744,0.2280408635,0.2176192434,0.02886673355,0.01644736842
llama2_7b,quantization,gptq,4,0,unstructured,6.27563858,39.29853045,0.1818490216,0.1727381906,0.0238731575,0.01371096878
llama2_7b,pruning,magnitude,none,0.1,unstructured,5.648074722,48.5617619,0.1182380699,0.1061547715,0.02001416943,0.00882117081
llama2_7b,pruning,magnitude,none,0.2,unstructured,5.020510864,51.79730744,0.1057094429,0.0955,0.02033098658,0.0098
llama2_7b,pruning,magnitude,none,0.3,unstructured,4.392947006,60.98564398,0.09455797303,0.08470328789,0.01816181196,0.007718524459
llama2_7b,pruning,magnitude,none,0.4,unstructured,3.765383148,84.10402893,0.08140708993,0.07218875502,0.01679604877,0.007530120482
llama2_7b,pruning,magnitude,none,0.5,unstructured,3.13781929,167.3922981,0.05858982973,0.05231143552,0.01379958405,0.004460665045
llama2_7b,pruning,magnitude,none,0.6,unstructured,2.510255432,1250.499646,0.01280740464,0.01078112286,0.004014895606,0.0003051261188
llama2_7b,pruning,magnitude,none,0.5,semistructured:24,3.13781929,259.0965014,0.08936520805,0.08533755274,0.01878169221,0.005485232068
llama2_7b,pruning,magnitude,none,0.5,semistructured:48,3.13781929,162.9930821,0.08958831044,0.0834006462,0.01927977041,0.005755250404
llama2_7b,pruning,sparsegpt,none,0.1,unstructured,5.648074722,37.10723012,0.1434507659,0.1318,0.02390767818,0.0129
llama2_7b,pruning,sparsegpt,none,0.2,unstructured,5.020510864,45.59545268,0.1384128317,0.1243,0.02204621666,0.0098
llama2_7b,pruning,sparsegpt,none,0.3,unstructured,4.392947006,46.43523622,0.1320029186,0.1204963971,0.0226512168,0.01240992794
llama2_7b,pruning,sparsegpt,none,0.4,unstructured,3.765383148,46.96863861,0.1339565872,0.1225864843,0.0215756743,0.01136363636
llama2_7b,pruning,sparsegpt,none,0.5,unstructured,3.13781929,47.07574175,0.1432575535,0.133935743,0.02048602283,0.01164658635
llama2_7b,pruning,sparsegpt,none,0.6,unstructured,2.510255432,56.19464379,0.1993439798,0.1904618474,0.033899826,0.01937751004
llama2_7b,pruning,sparsegpt,none,0.5,semistructured:24,3.13781929,62.00824849,0.2455089984,0.2387582508,0.03438295446,0.02093646865
llama2_7b,pruning,sparsegpt,none,0.5,semistructured:48,3.13781929,53.08382706,0.2349869333,0.2268252666,0.03033485113,0.01773995078
llama2_7b,pruning,wanda,none,0.1,unstructured,5.648074722,36.55933556,0.1441692102,0.1338070456,0.02351841761,0.0128102482
llama2_7b,pruning,wanda,none,0.2,unstructured,5.020510864,41.9902831,0.1396542245,0.1291297341,0.02313827697,0.0125906527
llama2_7b,pruning,wanda,none,0.3,unstructured,4.392947006,49.70558197,0.1347823414,0.1241922456,0.02302396994,0.01231825525
llama2_7b,pruning,wanda,none,0.4,unstructured,3.765383148,49.57723008,0.1340894319,0.1222891566,0.02293014309,0.01315261044
llama2_7b,pruning,wanda,none,0.5,unstructured,3.13781929,53.05179689,0.1526602671,0.1417,0.02524752515,0.0141
llama2_7b,pruning,wanda,none,0.6,unstructured,2.510255432,66.78653674,0.2249504849,0.2183,0.03445695294,0.0195
llama2_7b,pruning,wanda,none,0.5,semistructured:24,3.13781929,77.94736149,0.2621904087,0.2533140017,0.03247062075,0.01843413422
llama2_7b,pruning,wanda,none,0.5,semistructured:48,3.13781929,62.25772372,0.2360081439,0.2262295082,0.02919810671,0.01639344262
tulu2_7b,quantization,awq,4,0,unstructured,6.27563858,43.22419301,0.04690827479,0.0384,0.004147447299,0.0012
tulu2_7b,none,none,none,0,unstructured,6.27563858,43.10623753,0.04257478709,0.0334,0.003760511253,0.0011
tulu2_7b,quantization,gptq,4,0,unstructured,6.27563858,46.23599426,0.04494905047,0.0352,0.004245659397,0.0013
tulu2_13b,quantization,awq,4,0,unstructured,12.12196827,43.58672336,0.01967608149,0.01524636511,0.001632452901,0.000302907916
tulu2_13b,quantization,bitsandbytes,8,0,unstructured,12.12196827,42.30081854,0.01752209687,0.01361088871,0.00137630319,0.0002001601281
tulu2_13b,pruning,gblm,none,0.1,unstructured,10.90977144,43.2153336,0.01736752167,0.0136,0.001473435245,0.0004
tulu2_13b,pruning,gblm,none,0.2,unstructured,9.697574615,42.45688338,0.01710126567,0.0123,0.00155637325,0.0005
tulu2_13b,pruning,gblm,none,0.3,unstructured,8.485377789,42.43951847,0.02033871894,0.0146,0.001640611719,0.0004
tulu2_13b,pruning,gblm,none,0.4,unstructured,7.273180962,43.63748224,0.02260444145,0.0169,0.002031814092,0.0007
tulu2_13b,pruning,gblm,none,0.5,unstructured,6.060984135,48.87916133,0.02180435767,0.0159,0.001832547614,0.0003
tulu2_13b,pruning,gblm,none,0.6,unstructured,4.848787308,63.00066797,0.04723987284,0.0396,0.005120358142,0.0011
tulu2_13b,pruning,gblm,none,0.5,semistructured:24,6.060984135,68.98375869,0.08655350814,0.0768,0.01001684619,0.0031
tulu2_13b,pruning,gblm,none,0.5,semistructured:48,6.060984135,59.37769986,0.01980382767,0.0142,0.002407216965,0.0006
tulu2_13b,quantization,gptq,4,0,unstructured,12.12196827,44.32600893,0.01368230089,0.009723336006,0.001062060168,0.0002004811548
tulu2_13b,pruning,magnitude,none,0.1,unstructured,10.90977144,44.74435518,0.01447613789,0.01110888711,0.001509482198,0.0005004003203
tulu2_13b,pruning,magnitude,none,0.2,unstructured,9.697574615,42.85360696,0.01403717377,0.009715544872,0.001353358447,0.0003004807692
tulu2_13b,pruning,magnitude,none,0.3,unstructured,8.485377789,43.79745925,0.01330694888,0.008807045637,0.001189350979,0.0002001601281
tulu2_13b,pruning,magnitude,none,0.4,unstructured,7.273180962,50.64885378,0.01643095646,0.0117,0.001809189203,0.0007
tulu2_13b,pruning,magnitude,none,0.5,unstructured,6.060984135,110.4874725,0.02083606424,0.0147,0.002217148187,0.0008
tulu2_13b,pruning,magnitude,none,0.6,unstructured,4.848787308,682.392583,0.06996256289,0.0611,0.004779576165,0.0018
tulu2_13b,pruning,magnitude,none,0.5,semistructured:24,6.060984135,152.4896697,0.02721309762,0.0204,0.002035920979,0.0006
tulu2_13b,pruning,magnitude,none,0.5,semistructured:48,6.060984135,227.1191464,0.02102360506,0.0151,0.001539191616,0.0003
tulu2_13b,none,none,none,0,unstructured,12.12196827,43.34281381,0.01714996343,0.0129,0.001613616993,0.0005
tulu2_13b,pruning,sparsegpt,none,0.1,unstructured,10.90977144,43.56580442,0.01573203273,0.0115,0.001393668804,0.0004
tulu2_13b,pruning,sparsegpt,none,0.2,unstructured,9.697574615,44.37933642,0.01522125587,0.0103,0.001333925972,0.0004
tulu2_13b,pruning,sparsegpt,none,0.3,unstructured,8.485377789,44.98055341,0.01434326563,0.0101,0.001291736675,0.0004
tulu2_13b,pruning,sparsegpt,none,0.4,unstructured,7.273180962,46.75199484,0.01275245938,0.0086,0.001154777805,0.0002
tulu2_13b,pruning,sparsegpt,none,0.5,unstructured,6.060984135,50.38379164,0.01418675685,0.0099,0.001311296224,0.0005
tulu2_13b,pruning,sparsegpt,none,0.6,unstructured,4.848787308,60.11978232,0.03475856099,0.0277,0.003046151007,0.0008
tulu2_13b,pruning,sparsegpt,none,0.5,semistructured:24,6.060984135,58.21655947,0.0223351234,0.0161,0.001373400256,0.0001
tulu2_13b,pruning,sparsegpt,none,0.5,semistructured:48,6.060984135,55.75145062,0.01672608356,0.012,0.00149932829,0.0006
tulu2_13b,pruning,wanda,none,0.1,unstructured,10.90977144,43.58656508,0.01469738293,0.0094,0.001364258766,0.0004
tulu2_13b,pruning,wanda,none,0.2,unstructured,9.697574615,43.40895341,0.01352893429,0.0091,0.001322116503,0.0005
tulu2_13b,pruning,wanda,none,0.3,unstructured,8.485377789,42.75435433,0.01368526697,0.0095,0.001354162499,0.0006
tulu2_13b,pruning,wanda,none,0.4,unstructured,7.273180962,45.61916969,0.01305356355,0.0088,0.001165127835,0.0003
tulu2_13b,pruning,wanda,none,0.5,unstructured,6.060984135,49.81242917,0.01203416991,0.0085,0.001106353162,0.0004
tulu2_13b,pruning,wanda,none,0.6,unstructured,4.848787308,64.94010061,0.04243596373,0.0359,0.006112442934,0.0025
tulu2_13b,pruning,wanda,none,0.5,semistructured:24,6.060984135,70.95537319,0.03643500142,0.0296,0.002530250033,0.0004
tulu2_13b,pruning,wanda,none,0.5,semistructured:48,6.060984135,61.15920637,0.01774051008,0.012,0.001074721353,0
tulu2_7b,none,none,none,0,unstructured,6.27563858,52.57000386,0.02945141578,0.0237,0.00219171793,0.0007
tulu2_7b,quantization,awq,4,0,unstructured,6.27563858,53.86611564,0.02760634095,0.02146053702,0.002497014293,0.0008136696501
tulu2_7b,quantization,bitsandbytes,8,0,unstructured,6.27563858,52.5824674,0.02714826527,0.0213,0.002312533442,0.0008
tulu2_7b,pruning,gblm,none,0.1,unstructured,5.648074722,52.56822567,0.02925042253,0.0231,0.002633475716,0.0011
tulu2_7b,pruning,gblm,none,0.2,unstructured,5.020510864,53.33492099,0.02840521183,0.0226,0.002338470627,0.0006
tulu2_7b,pruning,gblm,none,0.3,unstructured,4.392947006,54.36423878,0.02867069921,0.0228,0.002694645237,0.0011
tulu2_7b,pruning,gblm,none,0.4,unstructured,3.765383148,56.41352966,0.0351198772,0.0279,0.002956658379,0.0014
tulu2_7b,pruning,gblm,none,0.5,unstructured,3.13781929,62.01551646,0.04851901484,0.0408,0.003287813823,0.0007
tulu2_7b,pruning,gblm,none,0.6,unstructured,2.510255432,82.81286412,0.06567042313,0.0562,0.004309220517,0.0011
tulu2_7b,pruning,gblm,none,0.5,semistructured:24,3.13781929,88.86438266,0.09998988066,0.0925,0.007611917934,0.0026
tulu2_7b,pruning,gblm,none,0.5,semistructured:48,3.13781929,71.98636361,0.05328089452,0.045,0.003619297356,0.0008
tulu2_7b,quantization,gptq,4,0,unstructured,6.27563858,54.71667187,0.03240288995,0.02639000806,0.003527654989,0.001410153102
tulu2_7b,pruning,magnitude,none,0.1,unstructured,5.648074722,55.07943584,0.02518322356,0.01996388443,0.002270011659,0.000702247191
tulu2_7b,pruning,magnitude,none,0.2,unstructured,5.020510864,58.56728105,0.02513014654,0.01874498797,0.002269268094,0.0009021651965
tulu2_7b,pruning,magnitude,none,0.3,unstructured,4.392947006,66.64132679,0.02654678875,0.01971577262,0.002343009958,0.001100880705
tulu2_7b,pruning,magnitude,none,0.4,unstructured,3.765383148,86.61511174,0.02839165311,0.02165592264,0.002463471158,0.001007252216
tulu2_7b,pruning,magnitude,none,0.5,unstructured,3.13781929,142.2793336,0.03926562514,0.0296,0.003555465156,0.0006
tulu2_7b,pruning,magnitude,none,0.6,unstructured,2.510255432,669.6470453,0.05951890488,0.05228365385,0.008269777641,0.001702724359
tulu2_7b,pruning,magnitude,none,0.5,semistructured:24,3.13781929,205.9984358,0.06671044317,0.05554435484,0.004169641236,0.001411290323
tulu2_7b,pruning,magnitude,none,0.5,semistructured:48,3.13781929,145.648915,0.04180276745,0.03382471729,0.002942827452,0.0007067851373
tulu2_7b,pruning,sparsegpt,none,0.1,unstructured,5.648074722,53.98913509,0.0287543592,0.023,0.002544381114,0.0009
tulu2_7b,pruning,sparsegpt,none,0.2,unstructured,5.020510864,56.85511419,0.02515234763,0.01991593275,0.001922812085,0.0005004003203
tulu2_7b,pruning,sparsegpt,none,0.3,unstructured,4.392947006,59.51202487,0.02552116538,0.01913060897,0.001789393841,0.0005008012821
tulu2_7b,pruning,sparsegpt,none,0.4,unstructured,3.765383148,61.62877446,0.02735912117,0.02101681345,0.00226382607,0.0008006405124
tulu2_7b,pruning,sparsegpt,none,0.5,unstructured,3.13781929,67.34333538,0.03170274339,0.0243,0.002307428245,0.0004
tulu2_7b,pruning,sparsegpt,none,0.6,unstructured,2.510255432,81.46620527,0.04948214674,0.038,0.003520235271,0.0009
tulu2_7b,pruning,sparsegpt,none,0.5,semistructured:24,3.13781929,81.66906776,0.04968356584,0.04109863673,0.004134903399,0.001603849238
tulu2_7b,pruning,sparsegpt,none,0.5,semistructured:48,3.13781929,71.78445654,0.03886608458,0.03295819936,0.002668326021,0.0005024115756
tulu2_7b,pruning,wanda,none,0.1,unstructured,5.648074722,63.8790293,0.03082308722,0.0251,0.003078859329,0.0013
tulu2_7b,pruning,wanda,none,0.2,unstructured,5.020510864,77.05489651,0.03220797672,0.0268,0.002613450607,0.0005
tulu2_7b,pruning,wanda,none,0.3,unstructured,4.392947006,91.36795086,0.03993670616,0.0326,0.003360580969,0.0009
tulu2_7b,pruning,wanda,none,0.4,unstructured,3.765383148,109.3912596,0.05288410573,0.0448,0.004742686125,0.0021
tulu2_7b,pruning,wanda,none,0.5,unstructured,3.13781929,128.0287638,0.08056122298,0.0682,0.00714436555,0.0022
tulu2_7b,pruning,wanda,none,0.6,unstructured,2.510255432,191.2924568,0.1935663038,0.1795,0.01604446538,0.0071
tulu2_7b,pruning,wanda,none,0.5,semistructured:24,3.13781929,191.1251146,0.1422971771,0.1315313505,0.01004581387,0.003918810289
tulu2_7b,pruning,wanda,none,0.5,semistructured:48,3.13781929,139.1478127,0.08868822155,0.0745,0.006006896821,0.0017
