base_model,compression_type,compression_method,quantization_bits,compression_ratio,pruning_structure,active_parameters,age_acc_ambiguous,age_s_ambiguous,age_acc_disambiguated,age_s_disambiguated,disability_status_acc_ambiguous,disability_status_s_ambiguous,disability_status_acc_disambiguated,disability_status_s_disambiguated,gender_identity_acc_ambiguous,gender_identity_s_ambiguous,gender_identity_acc_disambiguated,gender_identity_s_disambiguated,nationality_acc_ambiguous,nationality_s_ambiguous,nationality_acc_disambiguated,nationality_s_disambiguated,physical_appearance_acc_ambiguous,physical_appearance_s_ambiguous,physical_appearance_acc_disambiguated,physical_appearance_s_disambiguated,race_ethnicity_acc_ambiguous,race_ethnicity_s_ambiguous,race_ethnicity_acc_disambiguated,race_ethnicity_s_disambiguated,race_x_gender_acc_ambiguous,race_x_gender_s_ambiguous,race_x_gender_acc_disambiguated,race_x_gender_s_disambiguated,religion_acc_ambiguous,religion_s_ambiguous,religion_acc_disambiguated,religion_s_disambiguated,ses_acc_ambiguous,ses_s_ambiguous,ses_acc_disambiguated,ses_s_disambiguated,sexual_orientation_acc_ambiguous,sexual_orientation_s_ambiguous,sexual_orientation_acc_disambiguated,sexual_orientation_s_disambiguated,avg_acc_ambiguous,avg_s_ambiguous,avg_acc_disambiguated,avg_s_disambiguated
llama2_13b,pruning,gblm,none,0.3,unstructured,8.485377789,0.1904055717,0.3600648396,0.8723584922,0.1382912481,0.06885893717,0.1377050934,0.7126831471,-0.006463142927,0.160968365,0.2102517483,0.7152065399,0.1056808527,0.3203361785,0.3233398515,0.7635586882,0.191578347,0.1878976178,0.3802127903,0.7365747515,0.1657054455,0.1655967366,0.1655960706,0.901631298,0.06529153473,0.05703039036,0.05803005803,0.9143382477,0.02712567572,0.1562690823,0.1585006041,0.8638099011,0.0600038242,0.1745406245,0.1750401254,0.7807993101,0.08949832616,0.2700173875,0.2715750199,0.8019027979,0.09973605661,0.1751920891,0.2240316201,0.8062863174,0.09364481677
llama2_13b,pruning,gblm,none,0.4,unstructured,7.273180962,0.1984479729,0.3807765955,0.8533754573,0.1604831659,0.07918707476,0.1368382186,0.696732425,-0.01822847781,0.1746300366,0.2199194139,0.6581638305,0.1563607688,0.2872961298,0.2902998028,0.7602366576,0.1466788967,0.1806713473,0.3177662742,0.7084808635,0.2101949653,0.1719324009,0.1719317349,0.8549322656,0.07770890595,0.06603739937,0.06703706704,0.9116675783,0.03211389567,0.1534857491,0.1557172709,0.8363381716,0.06501117573,0.1637144544,0.1642139552,0.7656426321,0.0980128992,0.2458777077,0.2474353401,0.7902059292,0.1031082266,0.1721280273,0.2151935673,0.7835775811,0.1031444422
llama2_13b,pruning,gblm,none,0.5,unstructured,6.060984135,0.1307211659,0.2837204112,0.856384774,0.1281445705,0.06326198667,0.09260246207,0.7114068092,0.02858017765,0.1382947053,0.1769234099,0.7131821822,0.1259358406,0.2158786716,0.2188823446,0.7675576639,0.09665524494,0.1657903949,0.3071272982,0.6841694104,0.1587597099,0.1502777223,0.1502770563,0.8532665999,0.07123174788,0.0503663837,0.05136605137,0.9249835917,0.02223309218,0.112749739,0.1149812608,0.846993747,0.05694012047,0.1555499525,0.1560494534,0.7428131076,0.1060050288,0.2294972108,0.2310548432,0.7831819578,0.09590745372,0.1412387933,0.1782984591,0.7883939844,0.08903929866
llama2_13b,pruning,gblm,none,0.6,unstructured,4.848787308,0.1410531593,0.1866855749,0.7540769812,0.09762853746,0.07230590144,0.08868435899,0.6251301386,0.05800705734,0.1006273726,0.1112820513,0.6971408075,0.07320565065,0.1805122999,0.1835159729,0.6639921536,0.07261722558,0.1883227878,0.3117830995,0.6097270855,0.2671568486,0.12396004,0.123959374,0.7165085085,0.07007132628,0.02101968769,0.02201935535,0.7302333969,0.005042073713,0.06419313214,0.06642465393,0.7830687831,0.02892216861,0.1375619486,0.1380614494,0.6447346922,0.09285848674,0.1182895023,0.1198471347,0.6880164685,0.06005548092,0.1147845832,0.1352263025,0.6912629015,0.08255648559
llama2_13b,quantization,gptq,4,0,unstructured,12.12196827,0.1530324852,0.3180404045,0.8643658029,0.120111667,0.06627496213,0.124780807,0.7032069065,-0.01429513013,0.1776297036,0.2329084249,0.7065362029,0.1151650975,0.3116501364,0.3146538095,0.7758893495,0.1691929524,0.2036062201,0.3891219131,0.7251033256,0.174672612,0.1999110889,0.1999104229,0.889287621,0.07303623268,0.05668939002,0.05768905769,0.889320556,0.02712567572,0.1713388571,0.1735703788,0.8598911619,0.06172517719,0.1570432919,0.1575427927,0.7659692958,0.09318437933,0.2022531334,0.2038107658,0.8354211458,0.06792750673,0.1699429269,0.2172028777,0.8014991368,0.08878461705
llama2_13b,pruning,magnitude,none,0.1,unstructured,10.90977144,0.1810675484,0.3093834048,0.8746841732,0.1097072581,0.07661031946,0.1179716465,0.7049245235,-0.02630894783,0.174965701,0.2242490842,0.7042018685,0.1157511417,0.3153284942,0.3183321672,0.7592380075,0.2284279437,0.2019233678,0.3696305396,0.7382950299,0.1296140455,0.1835830836,0.1835824176,0.8956279613,0.08151241717,0.05936205936,0.06036172703,0.889648223,0.03186434123,0.1579403894,0.1601719112,0.8671797338,0.06305024818,0.1838793005,0.1843788014,0.7596343018,0.1026069067,0.2482322683,0.2497899007,0.7948495751,0.09466701113,0.1782892532,0.21778516,0.7988283398,0.09308923656
llama2_13b,pruning,magnitude,none,0.5,semistructured:24,6.060984135,0.1170909024,0.1374199388,0.6128157059,0.08114917882,0.07532665663,0.1105290608,0.5617271717,0.08941153801,0.1496187146,0.1556140526,0.5660700701,0.1360446948,0.1905323333,0.1935360063,0.5614273105,0.1147010416,0.1657790499,0.2375015127,0.5339194256,0.2326337332,0.1173060273,0.1173053613,0.6024341008,0.05914408227,0.03801270468,0.03901237235,0.5602038935,0.01961373506,0.03737939045,0.03961091223,0.6760225976,0.01710240937,0.1617227937,0.1622222946,0.5388339492,0.136289894,0.1144171557,0.1159747881,0.5281653577,0.116254711,0.1167185729,0.13087263,0.5741619583,0.1002345018
llama2_13b,pruning,magnitude,none,0.2,unstructured,9.697574615,0.1987452541,0.3010570785,0.8686924869,0.116962617,0.08048517706,0.1355977969,0.7135495007,-0.0009163971073,0.1746320346,0.2205854146,0.7212152152,0.1177698033,0.3156604942,0.3186641672,0.7738873582,0.1852501631,0.1951222675,0.3475297997,0.746371628,0.1230058358,0.1872480852,0.1872474192,0.901964965,0.0818928503,0.0603643937,0.06136406136,0.888970889,0.03175219995,0.1573783074,0.1596098292,0.8733374831,0.05475079213,0.2015584807,0.2020579816,0.7659673071,0.1024825291,0.2552561037,0.2568137361,0.7933248505,0.1162253432,0.1826450598,0.2190527284,0.8047281684,0.09291757367
llama2_13b,pruning,magnitude,none,0.5,semistructured:48,6.060984135,0.1260407982,0.1663505125,0.6351108074,0.1654337183,0.06155210188,0.04436656998,0.5992289264,-0.003729121322,0.1272823843,0.1372737263,0.5984187521,0.09863429111,0.2165206215,0.2195242945,0.6440117853,0.1255946263,0.1725866331,0.2061410333,0.5254209238,0.2041717271,0.1033026973,0.1033020313,0.6784874875,0.06516035624,0.03100836434,0.03200803201,0.6979216979,0.01012841236,0.04017953013,0.04241105192,0.6911533637,0.01425397456,0.1207154307,0.1212149315,0.6208751754,0.07874748338,0.1183112367,0.1198688691,0.610050751,0.1072232689,0.1117499798,0.1192461052,0.630067967,0.08656187369
llama2_13b,pruning,magnitude,none,0.3,unstructured,8.485377789,0.1683738346,0.2760376804,0.8536991383,0.170769854,0.07058436853,0.1145130555,0.6949975022,0.03742505516,0.1702940393,0.1956020646,0.6861751752,0.1002975587,0.3243228098,0.3273264828,0.7196036292,0.2629689577,0.1900234681,0.305927962,0.7050484727,0.1901727922,0.1729317349,0.1729310689,0.8816176176,0.07847018547,0.05569172236,0.05669139002,0.8939532273,0.02138977107,0.1361629777,0.1383944994,0.8654924596,0.05477277662,0.1977178107,0.1982173116,0.7291106171,0.1043578185,0.2699920307,0.2715496631,0.7394841531,0.1419943957,0.1756094797,0.2057191178,0.7769181992,0.1162619165
llama2_13b,pruning,sparsegpt,none,0.1,unstructured,10.90977144,0.1930825774,0.3400964907,0.8753534992,0.1128699297,0.08349704543,0.143765433,0.7096612575,-0.01374892962,0.199965035,0.2465844156,0.7125468802,0.1498632953,0.3310148599,0.3340185329,0.7539096685,0.2447948525,0.2112803508,0.3823726759,0.7412761199,0.1308353202,0.1985810856,0.1985804196,0.899300634,0.07910238868,0.06169572836,0.06269539603,0.8956488956,0.03197510779,0.1718972043,0.1741287261,0.8655000047,0.06333842371,0.1933929792,0.1938924801,0.7631344686,0.1006534012,0.2559914511,0.2575490835,0.795643017,0.09083489558,0.1900398317,0.2333683653,0.8011974445,0.0990518685
llama2_13b,pruning,sparsegpt,none,0.2,unstructured,9.697574615,0.1944078967,0.3540958267,0.8693554992,0.1258147585,0.08134150655,0.1484461763,0.7122508168,-0.006956809627,0.2026313686,0.2519154179,0.7095448782,0.1423603126,0.3320115152,0.3350151882,0.7525783312,0.2533000603,0.2010778899,0.3738644123,0.7459709556,0.1387882327,0.1979170829,0.1979164169,0.8926269603,0.08351323055,0.06035706036,0.06135672802,0.881979882,0.0330071626,0.1724555516,0.1746870734,0.8593347103,0.06368959308,0.1970609849,0.1975604857,0.7594674616,0.1100796139,0.2653191335,0.2668767659,0.7979904348,0.09651085175,0.190457999,0.2361734491,0.798109993,0.1040107006
llama2_13b,pruning,sparsegpt,none,0.3,unstructured,8.485377789,0.185719186,0.3473864339,0.8593574932,0.1676805927,0.07531888549,0.1484373152,0.7122530497,-0.002928164346,0.1989667,0.2349287379,0.7028715382,0.1375992122,0.3256604788,0.3286641518,0.7429110072,0.267884441,0.1887447164,0.3589899429,0.7323312167,0.1442379298,0.1622670663,0.1622664003,0.900628295,0.06166628804,0.05669072336,0.05769039102,0.883652217,0.0257524752,0.1635266634,0.1657581852,0.8615756067,0.0611997579,0.2017256509,0.2022251517,0.7487996168,0.1145649175,0.2653336231,0.2668912555,0.7823885159,0.09880174475,0.1823953694,0.2273237965,0.7926768556,0.1076459195
llama2_13b,pruning,sparsegpt,none,0.4,unstructured,7.273180962,0.198732548,0.3931299369,0.8437018056,0.2197879086,0.07273212769,0.1088578901,0.7083597662,-0.0006724329238,0.230950716,0.2762387612,0.6531758425,0.2294274299,0.3129690974,0.3159727704,0.7532326788,0.2131508662,0.1980952165,0.3555918238,0.716588492,0.2047275012,0.1699377289,0.1699370629,0.899627294,0.05767236229,0.05835705836,0.05935672602,0.91000791,0.02450295921,0.1283563862,0.130587908,0.856527931,0.05547588832,0.1868791394,0.1873786402,0.762303791,0.1173991419,0.2684162863,0.2699739187,0.7769514282,0.1061269808,0.1825426305,0.2267025438,0.7880476939,0.1227598606
llama2_13b,pruning,sparsegpt,none,0.5,unstructured,6.060984135,0.2040712174,0.4557773416,0.832381789,0.2357156438,0.08693790136,0.1454691966,0.695435974,0.01322131541,0.2316100566,0.2742327672,0.6738538539,0.1849391666,0.2786037487,0.2816074217,0.7915370278,0.1120017377,0.215097157,0.3793964854,0.7280746165,0.2155311834,0.1976063936,0.1976057276,0.8632832833,0.08261222175,0.0550377217,0.05603738937,0.9229922563,0.006410729848,0.1406428277,0.1428743495,0.8643786134,0.05731379852,0.1842141367,0.1847136375,0.7348029378,0.116663461,0.2792798667,0.2808374991,0.7855074371,0.1061444409,0.1873101027,0.2398551816,0.7892247789,0.1130553699
llama2_13b,pruning,sparsegpt,none,0.6,unstructured,4.848787308,0.193739168,0.32943381,0.7580623977,0.2374371798,0.09425417487,0.1570333789,0.6440977404,0.06763311173,0.136951382,0.1529340659,0.6768241575,0.1112181382,0.1925009117,0.1955045847,0.740251273,0.1084559051,0.2482166628,0.381916712,0.6140065501,0.3608212057,0.1805994006,0.1805987346,0.7715508842,0.0830205468,0.034671368,0.03567103567,0.8439398439,0.003354839376,0.130602847,0.1328343688,0.7914947797,0.05542975894,0.1957179732,0.1962174741,0.6639192138,0.1401640502,0.2317938129,0.2333514453,0.713742998,0.1139498484,0.1639047701,0.199549561,0.7217889838,0.1281484584
llama2_13b,pruning,sparsegpt,none,0.5,semistructured:24,6.060984135,0.1944219328,0.3300711546,0.775383763,0.1908036384,0.1007096905,0.1445552722,0.6587838286,0.04935851617,0.1742867133,0.1869380619,0.6801661662,0.1558112607,0.2352410346,0.2382447076,0.725606579,0.1415094914,0.2176481774,0.3742847202,0.6578480624,0.3071329433,0.151963703,0.151963037,0.8025715716,0.08746295524,0.03368036701,0.03468003468,0.8339478339,0.006402532157,0.1010235122,0.103255034,0.7920587764,0.04832457439,0.1949063156,0.1954058164,0.6901179011,0.1479499728,0.1478374266,0.149395059,0.7714960584,0.08568812937,0.1551718873,0.1908792898,0.7387980541,0.1220444014
llama2_13b,pruning,sparsegpt,none,0.5,semistructured:48,6.060984135,0.2114342518,0.4164696693,0.7893960947,0.2056080687,0.086078242,0.1274118358,0.6769202758,0.0251938301,0.1909463869,0.2329030969,0.6418198198,0.1902008745,0.2408856385,0.2438893115,0.7485779623,0.1389452342,0.2253077216,0.4014469829,0.6774516144,0.2621950664,0.160954379,0.160953713,0.8245945946,0.08797892934,0.03434303434,0.03534270201,0.8709682043,0.006420295084,0.09432334471,0.09655486649,0.823449245,0.0566886166,0.16921346,0.1697129609,0.7117954166,0.1369469815,0.1501159168,0.1516735492,0.804217308,0.07247884941,0.1563602376,0.2036358688,0.7569190536,0.1182656746
llama2_13b,pruning,wanda,none,0.1,unstructured,10.90977144,0.1880742244,0.3344081189,0.8693548279,0.1240597035,0.07790120203,0.1338552034,0.7062081345,-0.01211949132,0.1932973693,0.2379167499,0.7208828829,0.1353676725,0.3300121852,0.3330158582,0.7525780015,0.2591412751,0.2095796705,0.3713312199,0.7395689069,0.1340924395,0.1875860806,0.1875854146,0.9036339673,0.07223034774,0.05935805936,0.06035772702,0.8999825666,0.03004168189,0.1629655151,0.1651970368,0.8660602288,0.05945167947,0.1888903099,0.1893898107,0.7612998,0.1019401286,0.2451097587,0.2466673911,0.8049961242,0.08533940085,0.1842774375,0.2259724531,0.8024565441,0.09895448379
llama2_13b,pruning,wanda,none,0.2,unstructured,9.697574615,0.2027525801,0.3543984519,0.8653598289,0.1369164524,0.07789953065,0.130410449,0.7096651617,-0.01903861609,0.2166287046,0.2672454212,0.6905362029,0.1808353606,0.3303431748,0.3333468478,0.7472496638,0.2709812147,0.2006478576,0.3649439445,0.7370211529,0.1287749032,0.1829240759,0.1829234099,0.9086333,0.06546396778,0.05935805936,0.06035772702,0.8883062216,0.02634074835,0.1612886058,0.1635201276,0.8643786134,0.05999839695,0.1900566459,0.1905561467,0.7601304616,0.1034781577,0.2458704629,0.2474280953,0.7979758092,0.09191388403,0.1867769698,0.2295130621,0.7969256416,0.104566447
llama2_13b,pruning,wanda,none,0.3,unstructured,8.485377789,0.1973978847,0.3837498574,0.8620331469,0.1504317756,0.07617576638,0.1587565875,0.7143996585,0.01179487901,0.1786303696,0.2312437562,0.7081991992,0.1357372082,0.3026377821,0.3056414551,0.7792113728,0.1764852191,0.185768526,0.3721507663,0.7429784334,0.1370866082,0.1662747253,0.1662740593,0.909636303,0.06502731079,0.05902505903,0.06002472669,0.8839845507,0.02716815992,0.1473420615,0.1495735833,0.8638202756,0.05705585653,0.1775486362,0.178048137,0.7626322908,0.09846382936,0.2458777077,0.2474353401,0.7964218332,0.08640306587,0.1736678518,0.2252898269,0.8023317064,0.09456539126
llama2_13b,pruning,wanda,none,0.4,unstructured,7.273180962,0.1974212508,0.431141337,0.8373774593,0.1950834859,0.0800484012,0.1462961643,0.6889413924,0.008176637248,0.1456237096,0.2062324342,0.6764918252,0.1318474331,0.2615920603,0.2645957333,0.7728756972,0.128028924,0.1912924954,0.3513336402,0.7029618185,0.1866386455,0.1696120546,0.1696113886,0.8696162829,0.08720378648,0.05769639103,0.0586960587,0.8870055537,0.0329428397,0.135617702,0.1378492238,0.8509209745,0.05616291059,0.1700402919,0.1705397927,0.7387947713,0.1058600784,0.2209954358,0.2225530682,0.7987948459,0.09362230834,0.1629939793,0.2158848841,0.7823780621,0.1025567049
llama2_13b,pruning,wanda,none,0.5,unstructured,6.060984135,0.1483447374,0.3546700501,0.8420627594,0.1577752865,0.06325864821,0.09691017563,0.7221756269,0.02208205409,0.1512823843,0.1919104229,0.6914994995,0.1337312358,0.1875082771,0.1905119502,0.8058414081,0.07591433099,0.1751441364,0.3114081719,0.6914234324,0.1880420046,0.1689427239,0.1689420579,0.8679419419,0.0692490661,0.05535872203,0.05635838969,0.9256415923,0.0102018672,0.08259151574,0.08482303752,0.8537154929,0.03510390769,0.1648816249,0.1653811257,0.7104585815,0.1282860908,0.2092479896,0.210805622,0.7901876472,0.0808031544,0.140656076,0.1831721004,0.7900947982,0.09011889983
llama2_13b,pruning,wanda,none,0.6,unstructured,4.848787308,0.1366733687,0.2349645351,0.7537406868,0.1722229377,0.05982222926,0.0951110815,0.6427750391,0.06379372143,0.1512883783,0.1679403929,0.6014280948,0.1508057196,0.1581519094,0.1611555824,0.7236025804,0.0650566824,0.1861872131,0.292676378,0.6135634151,0.3106646073,0.1789320679,0.1789314019,0.7181721722,0.08463831884,0.04702171369,0.04802138135,0.7965697966,0.0077493579,0.08148509175,0.08371661354,0.7785945355,0.04487942329,0.1535429475,0.1540424484,0.6113715004,0.1005791825,0.1594435992,0.1610012316,0.7004336507,0.0855324625,0.1312548519,0.1577561047,0.6940251471,0.1085922414
llama2_13b,pruning,wanda,none,0.5,semistructured:24,6.060984135,0.2190822404,0.3060193514,0.6807619416,0.1969933339,0.07403744544,0.1583132034,0.6126286266,0.08732097911,0.1772717283,0.1892610723,0.6174254254,0.1291582192,0.2158689645,0.2188726375,0.6723135241,0.1083733254,0.2218933952,0.3538830399,0.555233457,0.3711325176,0.1692807193,0.1692800533,0.7095048382,0.08006679974,0.04233904234,0.04333871001,0.7409227409,0.01013525137,0.07199412148,0.07422564327,0.7270426016,0.02294786781,0.2027308091,0.2032303099,0.6225746896,0.1526864329,0.1929942766,0.194551909,0.6505674755,0.1037809871,0.1587492743,0.191097593,0.658897532,0.1262595714
llama2_13b,pruning,wanda,none,0.5,semistructured:48,6.060984135,0.1180030591,0.2463749957,0.7987280534,0.1585909314,0.07144569497,0.1368421084,0.6755986844,0.05010442453,0.1496130536,0.1762530803,0.6768088088,0.1260321516,0.1908462711,0.1938499441,0.7542293209,0.09307160469,0.1900072608,0.3398119095,0.6527443884,0.2464939316,0.1569427239,0.1569420579,0.7832212212,0.07471613086,0.04767838101,0.04867804868,0.8016314683,0.01954017499,0.08595467116,0.08818619295,0.787019589,0.05229270383,0.1773778024,0.1778773032,0.6877767339,0.1281968932,0.1664420778,0.1679997102,0.7386760856,0.07798215626,0.1354310996,0.1732815351,0.7356434354,0.1027021103
llama2_7b,none,none,none,0,unstructured,6.27563858,0.2127445961,0.3290364525,0.7837506928,0.1556723079,0.08090196509,0.08871929909,0.6691482507,-0.007834552386,0.1775870796,0.1882437562,0.6751414748,0.0851577859,0.3476929281,0.3506966011,0.7429315841,0.177799801,0.2201959564,0.3445681958,0.6667978651,0.2244549567,0.1566020646,0.1566013986,0.8656119453,0.05764133969,0.04333671,0.04433637767,0.9232692566,0.001000334334,0.1490311087,0.1512626305,0.8111139405,0.04600850613,0.176198792,0.1766982929,0.7117459294,0.06410044282,0.2412301674,0.2427877998,0.7168399807,0.1249629204,0.1805521368,0.2072950804,0.756635092,0.09289638424
